Time (s),Total Torch(N.m)
[866.0],113.84422374264261
[867.0],113.22583612353256
[868.0],112.41994920591698
[869.0],122.6154057245815
[870.0],120.52265559137336
[871.0],120.28579420043536
[872.0],118.95887172522198
[873.0],118.4345987691663
[874.0],117.31604754026527
[875.0],116.70428278964775
[876.0],115.72685558690674
[877.0],115.07621999084836
[878.0],114.19885575736578
[879.0],118.90470973792557
[880.0],116.88344678128021
[881.0],116.4025678037411
[882.0],115.29915309581945
[883.0],114.64902838896626
[884.0],113.75705815596989
[885.0],113.19458955297051
[886.0],112.45118502124924
[887.0],111.88016324806493
[888.0],111.19810750519129
[889.0],114.12527757280115
[890.0],111.9168945184112
[891.0],111.51159441176115
[892.0],110.4037835885598
[893.0],109.77314349842767
[894.0],108.8325784821211
[895.0],108.17990075890084
[896.0],107.3393968295705
[897.0],106.6845839100323
[898.0],105.91335947429761
[899.0],110.05091700961438
[900.0],106.82012520031016
[901.0],106.6079774402822
[902.0],105.03339704330773
[903.0],104.57194754217883
[904.0],103.37247791631334
[905.0],102.84665801726062
[906.0],101.85371990158801
[907.0],101.28850623476286
[908.0],100.42739868787261
[909.0],99.2717904391286
[910.0],96.03602520266803
[911.0],95.79248972390394
[912.0],94.3679616400828
[913.0],93.84973127692237
[914.0],92.75892079273402
[915.0],92.20801316552563
[916.0],91.29946900831868
[917.0],90.73490477008134
[918.0],89.944909274991
[919.0],94.65751308874638
[920.0],88.63329341593553
[921.0],87.77825049563407
[922.0],85.6381193635441
[923.0],85.22352922409117
[924.0],83.70430612958019
[925.0],83.2502084257957
[926.0],82.1138758849244
[927.0],81.66663431367435
[928.0],80.79499563634475
[929.0],93.81162132783925
[930.0],87.87854565185921
[931.0],87.91624652402483
[932.0],85.28360623040685
[933.0],84.74112349765599
[934.0],82.86498476885538
[935.0],82.25402312136075
[936.0],80.84657927427047
[937.0],80.29547922502648
[938.0],79.23719257617098
[939.0],113.27433111047141
[940.0],106.00079715568377
[941.0],105.35449853097398
[942.0],101.93227908384681
[943.0],100.83505753846828
[944.0],98.42269998205833
[945.0],97.44007126233714
[946.0],95.6549190270715
[947.0],95.14253593647771
[948.0],94.64866801036469
[949.0],139.68194122738655
[950.0],131.48215912385575
[951.0],130.96917550056054
[952.0],128.66367011102622
[953.0],129.29170612886608
[954.0],127.90496310117251
[955.0],128.127772917368
[956.0],127.25429782051852
[957.0],127.20437069367267
[958.0],126.43613535397333
[959.0],174.88158692924566
[960.0],173.37716422216786
[961.0],173.62820775478667
[962.0],172.54606896600805
[963.0],172.6375636306536
[964.0],170.2440233452841
[965.0],170.16232145112716
[966.0],169.4815093541605
[967.0],169.20055494525536
[968.0],168.24464652021376
[969.0],198.4663415620851
[970.0],198.91870007140523
[971.0],199.15807399209714
[972.0],198.69323340570517
[973.0],197.2485672244278
[974.0],196.11428266385423
[975.0],194.48336835686945
[976.0],193.11942716389893
[977.0],191.49240803801936
[978.0],190.05851316140547
[979.0],182.56521556717868
[980.0],174.448291914833
[981.0],171.6560473494829
[982.0],171.63658688532774
[983.0],169.30622116283038
[984.0],168.42315058314625
[985.0],166.34814428095655
[986.0],165.2106371643735
[987.0],163.3808562263634
[988.0],162.14569814217268
[989.0],137.02327005757405
[990.0],143.76334029505128
[991.0],148.12569106115797
[992.0],151.83854913967295
[993.0],180.07641638517302
[994.0],200.25523207573877
[995.0],209.1776762699648
[996.0],210.76485315154775
[997.0],199.256662245011
[998.0],197.52399269821078
[999.0],199.31690831109643
[1000.0],192.15038141486838
[1001.0],187.5368791119439
[1002.0],183.54030721212519
[1003.0],179.7797103785305
[1004.0],176.31264150151156
[1005.0],173.1346644221678
[1006.0],170.2411540442521
